1:0.495932 2:0.623886 3:-0.214293 4:0.486895 5:0.190788 6:0.414567 7:0.242659 8:-0.630631 9:-0.48061 10:0.106867 11:0.151769 12:0.430352 13:0.149689
1:0.450012 2:0.598015 3:-0.166097 4:0.465805 5:0.182752 6:0.42596 7:0.240955 8:-0.648575 9:-0.430455 10:0.071374 11:0.096779 12:0.418749 13:0.146612
1:0.367722 2:0.53294 3:-0.09867 4:0.425212 5:0.15799 6:0.437979 7:0.242078 8:-0.653903 9:-0.339874 10:-0.006428 11:0.023273 12:0.395612 13:0.121837
1:0.293706 2:0.467327 3:-0.038541 4:0.38479 5:0.142555 6:0.441287 7:0.240634 8:-0.644866 9:-0.254256 10:-0.084487 11:-0.03674 12:0.376474 13:0.097669
1:0.258086 2:0.426001 3:-0.012958 4:0.362673 5:0.13698 6:0.435259 7:0.218293 8:-0.627419 9:-0.204329 10:-0.142438 11:-0.061616 12:0.363392 13:0.083733
1:0.237458 2:0.395431 3:-0.00338 4:0.349622 5:0.130326 6:0.432135 7:0.188131 8:-0.602711 9:-0.173945 10:-0.185211 11:-0.079518 12:0.354701 13:0.071307
1:0.206391 2:0.360785 3:0.019488 4:0.330047 5:0.12545 6:0.435994 7:0.175717 8:-0.572674 9:-0.142135 10:-0.22104 11:-0.114975 12:0.343792 13:0.056881
1:0.158777 2:0.315127 3:0.062869 4:0.294806 5:0.12425 6:0.42324 7:0.186487 8:-0.533314 9:-0.091266 10:-0.26229 11:-0.15925 12:0.307919 13:0.038221
1:0.085982 2:0.244108 3:0.130015 4:0.222271 5:0.111276 6:0.381176 7:0.189194 8:-0.477081 9:0.001883 10:-0.323622 11:-0.220091 12:0.234672 13:0.004528
1:-0.025986 2:0.128933 3:0.219004 4:0.110781 5:0.072052 6:0.326596 7:0.157508 8:-0.396035 9:0.142192 10:-0.407258 11:-0.307599 12:0.139675 13:-0.048707
1:-0.144229 2:-0.00368 3:0.303846 4:0.001075 5:0.018731 6:0.270509 7:0.111924 8:-0.305717 9:0.275454 10:-0.474811 11:-0.383216 12:0.046805 13:-0.094318
1:-0.22316 2:-0.09556 3:0.366817 4:-0.072217 5:-0.014903 6:0.222674 7:0.082665 8:-0.247055 9:0.353482 10:-0.51126 11:-0.429708 12:-0.026188 13:-0.115114
1:-0.250229 2:-0.121658 3:0.39473 4:-0.10037 5:-0.018959 6:0.192591 7:0.070752 8:-0.229895 9:0.375165 10:-0.525947 11:-0.450095 12:-0.067076 13:-0.11482
1:-0.236042 2:-0.096183 3:0.390403 4:-0.090913 5:-0.016027 6:0.193804 7:0.076989 8:-0.249223 9:0.355536 10:-0.525509 11:-0.443549 12:-0.064949 13:-0.096924
1:-0.191093 2:-0.043478 3:0.37263 4:-0.059851 5:-0.02502 6:0.236879 7:0.104444 8:-0.316765 9:0.308719 10:-0.514047 11:-0.413436 12:-0.025356 13:-0.064211
1:0 2:0 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:0 13:0
1:-0.684055 2:-0.665043 3:0.37199 4:-0.419469 5:-0.266152 6:-0.368936 7:-0.081722 8:0.440228 9:0.47636 10:-0.131364 11:-0.341827 12:-0.352344 13:-0.021913
1:-0.704128 2:-0.683838 3:0.37281 4:-0.41441 5:-0.256414 6:-0.417691 7:-0.070251 8:0.452294 9:0.494989 10:-0.151266 11:-0.343777 12:-0.366466 13:-0.012505
1:-0.691357 2:-0.702548 3:0.320799 4:-0.386721 5:-0.230954 6:-0.452386 7:-0.068847 8:0.486927 9:0.489198 10:-0.152092 11:-0.290605 12:-0.369517 13:-0.005175
1:-0.638857 2:-0.705407 3:0.227097 4:-0.347227 5:-0.205751 6:-0.466206 7:-0.097525 8:0.53334 9:0.455333 10:-0.1428 11:-0.192757 12:-0.357452 13:-0.004116
1:-0.542935 2:-0.667873 3:0.102281 4:-0.292582 5:-0.186717 6:-0.462953 7:-0.142988 8:0.572518 9:0.380671 10:-0.100595 11:-0.055524 12:-0.339469 13:-0.004979
1:-0.426191 2:-0.593684 3:-0.022536 4:-0.22733 5:-0.16794 6:-0.454371 7:-0.185323 8:0.585708 9:0.284155 10:-0.027465 11:0.085557 12:-0.325486 13:0.002901
